শাংথনা	ꯁꯥꯡꯊꯅꯥ
থোকখিদবা	ꯊꯣꯛꯈꯤꯗꯕꯥ
ওইজবা	ꯑꯣꯢꯖꯕꯥ
ফোঙ	ꯐꯣꯉ
গঙ্গাসাগর	ꯒꯪꯒꯥꯁꯥꯒꯔ
ওকই	ꯑꯣꯛꯏ
অবোনমৈগী	ꯑꯕꯣꯟꯃꯩꯒꯤ
পামলিবা	ꯄꯥꯝꯂꯤꯕꯥ
মাইচৌবু	ꯃꯥꯢꯆꯧꯕꯨ
সমাজিক্কী	ꯁꯃꯥꯖꯤꯛꯀꯤ
ক্রাইমস	ꯀ꯭ꯔꯥꯢꯃꯁ
থেংনখিবদগী	ꯊꯦꯡꯅꯈꯤꯕꯗꯒꯤ
মঙফাওনহন্নবা	ꯃꯪꯐꯥꯎꯅꯍꯟꯅꯕꯥ
মরেন	ꯃꯔꯦꯟ
বিগুম্বা	ꯕꯤꯒꯨꯝꯕꯥ
অন্টরজাতিগী	ꯑꯟꯇꯔꯖꯥꯇꯤꯒꯤ
নুংঙাইতবশিং	ꯅꯨꯡꯉꯥꯢꯇꯕꯁꯤꯡ
অনসেক্যুরদ	ꯑꯟꯁꯦꯀ꯭ꯌꯨꯔꯗ
থোক্পিদুনা	ꯊꯣꯛꯄꯤꯗꯨꯅꯥ
মথুমতনা	ꯃꯊꯨꯝꯇꯅꯥ
কন্যাকা	ꯀꯅ꯭ꯌꯥꯀꯥ
য়ুজরস	ꯌꯨꯖꯔꯁ
শাবিরে	ꯁꯥꯕꯤꯔꯦ
কাইবীয়ানপাল	ꯀꯥꯢꯕꯤꯌꯥꯟꯄꯥꯜ
চীংখোংদা	ꯆꯤꯡꯈꯣꯡꯗꯥ
থিংখিগনি	ꯊꯤꯡꯈꯤꯒꯅꯤ
অতপ্পা	ꯑꯇꯞꯄꯥ
লৌবুক	ꯂꯧꯕꯨꯀ
মার্ক্সকী	ꯃꯥꯔ꯭ꯀ꯭ꯁꯀꯤ
খন্নবনি	ꯈꯟꯅꯕꯅꯤ
অখোয়	ꯑꯈꯣꯢ
শুরিবা	ꯁꯨꯔꯤꯕꯥ
শান্নরক্কনি	ꯁꯥꯟꯅꯔꯛꯀꯅꯤ
থওইদবগী	ꯊꯑꯣꯢꯗꯕꯒꯤ
পীথোক	ꯄꯤꯊꯣꯛ
থোকহল্লি	ꯊꯣꯛꯍꯜꯂꯤ
এব্যুজ	ꯑꯦꯕ꯭ꯌꯨꯖ
থৌগৎপনা	ꯊꯧꯒꯠꯄꯅꯥ
কাবুল	ꯀꯥꯕꯨꯜ
দিমোক্রেসি	ꯗꯤꯃꯣꯀ꯭ꯔꯦꯁꯤ
জিলাদা	ꯖꯤꯂꯥꯗꯥ
শিজিন্ননবসু	ꯁꯤꯖꯤꯟꯅꯅꯕꯁꯨ
ওইৱগী	ꯑꯣꯢꯋꯒꯤ
ওন্খ্রে	ꯑꯣꯟꯈ꯭ꯔꯦ
বিজয়	ꯕꯤꯖꯩ
সিক্কিমদি	ꯁꯤꯛꯀꯤꯝꯗꯤ
পাংনবা	ꯄꯥꯡꯅꯕꯥ
ভলুন্টিয়ারশিংদা	ꯚꯂꯨꯟꯇꯤꯌꯥꯔꯁꯤꯡꯗꯥ
লান্থেংনদুনা	ꯂꯥꯟꯊꯦꯡꯅꯗꯨꯅꯥ
য়াৎলি	ꯌꯥꯠꯂꯤ
বিনোদিনি	ꯕꯤꯅꯣꯗꯤꯅꯤ
য়ানখ্রে	ꯌꯥꯅꯈ꯭ꯔꯦ
মন্ত্রিশিংসু	ꯃꯟꯇ꯭ꯔꯤꯁꯤꯡꯁꯨ
ভক্তিবেদান্ত	ꯚꯛꯇꯤꯕꯦꯗꯥꯟ꯭ꯇ
লুচিংবশিংসু	ꯂꯨꯆꯤꯡꯕꯁꯤꯡꯁꯨ
লেপ্নখিবনি	ꯂꯦꯞꯅꯈꯤꯕꯅꯤ
তম্বা	ꯇꯝꯕꯥ
শুক্পু	ꯁꯨꯛꯄꯨ
বিজিনজংদা	ꯕꯤꯖꯤꯟꯖꯪꯗꯥ
দায়ত্বশিং	ꯗꯥꯢꯇ꯭ꯋꯁꯤꯡ
শোন্থরক্লে	ꯁꯣꯟꯊꯔꯛꯂꯦ
থোরক্পদা	ꯊꯣꯔꯛꯄꯗꯥ
কাংবুশিংগা	ꯀꯥꯡꯕꯨꯁꯤꯡꯒꯥ
কয়ামরুমসু	ꯀꯌꯥꯃꯔꯨꯝꯁꯨ
ইরৈচাশিংনা	ꯏꯔꯩꯆꯥꯁꯤꯡꯅꯥ
জেনেরেতি	ꯖꯦꯅꯦꯔꯦꯇꯤ
হোস্পিতালবু	ꯍꯣꯁꯄꯤꯇꯥꯜꯕꯨ
জরনেলিজমদা	ꯖꯔꯅꯦꯂꯤꯖꯝꯗꯥ
লেপ্লরে	ꯂꯦꯞꯂꯔꯦ
রেপোর্ত্	ꯔꯦꯄꯣꯔ꯭ꯇ
ওইবোইরে	ꯑꯣꯢꯕꯣꯢꯔꯦ
সেক্তরশিং	ꯁꯦꯛꯇꯔꯁꯤꯡ
মরোংগী	ꯃꯔꯣꯡꯒꯤ
তবলতগী	ꯇꯕꯜꯇꯒꯤ
থাখিবদা	ꯊꯥꯈꯤꯕꯗꯥ
লাস্কর	ꯂꯥꯁꯀꯔ
পােজিসনশিংদা	ꯄꯣꯖꯤꯁꯟꯁꯤꯡꯗꯥ
তারবদি	ꯇꯥꯔꯕꯗꯤ
তোংঙোলাউ	ꯇꯣꯡꯉꯣꯂꯥꯎ
হল্লি	ꯍꯜꯂꯤ
অখন্দা	ꯑꯈꯟꯗꯥ
লৌশিপাৎকী	ꯂꯧꯁꯤꯄꯥꯠꯀꯤ
সেরিমোনি	ꯁꯦꯔꯤꯃꯣꯅꯤ
ৱারীৱাতাই	ꯋꯥꯔꯤꯋꯥꯇꯥꯢ
খঙহনবগ	ꯈꯪꯍꯟꯕꯒ
গভর্নেন্সতা	ꯒꯚꯔꯅꯦꯟ꯭ꯁꯇꯥ
কম্পিনি	ꯀꯝꯄꯤꯅꯤ
মাইরেন্	ꯃꯥꯢꯔꯦꯟ
লৈত্রবা	ꯂꯩꯇ꯭ꯔꯕꯥ
সুরক্সিৎ	ꯁꯨꯔꯛꯁꯤꯠ
মালেমগা	ꯃꯥꯂꯦꯝꯒꯥ
নৈনিতালগী	ꯅꯩꯅꯤꯇꯥꯜꯒꯤ
কম্পেক্তর	ꯀꯝꯄꯦꯛꯇꯔ
টিএনএলগী	ꯇꯤꯑꯦꯟꯑꯦꯜꯒꯤ
মাহগা	ꯃꯥꯍꯒꯥ
খ্ৱাইনিংথৌ	ꯈ꯭ꯋꯥꯢꯅꯤꯡꯊꯧ
ইন্তরনেস্নেলদা	ꯏꯟꯇꯔꯅꯦꯁꯅꯦꯜꯗꯥ
তৌমীন্নবসু	ꯇꯧꯃꯤꯟꯅꯕꯁꯨ
য়েংশিনবদসু	ꯌꯦꯡꯁꯤꯟꯕꯗꯁꯨ
কন্সাইনি	ꯀꯟꯁꯥꯢꯅꯤ
নৈগ্রীমসকা	ꯅꯩꯒ꯭ꯔꯤꯃꯁꯀꯥ
কাংঙুজম	ꯀꯥꯡꯉꯨꯖꯝ
মতাদা	ꯃꯇꯥꯗꯥ
লৌননবা	ꯂꯧꯅꯅꯕꯥ
মর্জনা	ꯃꯔ꯭ꯖꯅꯥ
হৌরেদো	ꯍꯧꯔꯦꯗꯣ
লিলি	ꯂꯤꯂꯤ
মান্নদ্রবা	ꯃꯥꯟꯅꯗ꯭ꯔꯕꯥ
নংথরক্তুনা	ꯅꯪꯊꯔꯛꯇꯨꯅꯥ
বিনয়	ꯕꯤꯅꯌ
খোম্নরি	ꯈꯣꯝꯅꯔꯤ
পার্ত	ꯄꯥꯔ꯭ꯇ
বাইলেটরেল	ꯕꯥꯢꯂꯦꯇꯔꯦꯜ
খুদাংগী	ꯈꯨꯗꯥꯡꯒꯤ
ঙরাংখক্তদা	ꯉꯔꯥꯡꯈꯛꯇꯗꯥ
ৱান্থোক	ꯋꯥꯟꯊꯣꯛ
থিজিনহল্লগনি	ꯊꯤꯖꯤꯟꯍꯜꯂꯒꯅꯤ
শুরক্সা	ꯁꯨꯔꯛꯁꯥ
এননা	ꯑꯦꯟꯅꯥ
সিজ	ꯁꯤꯖ
ফম্গনি	ꯐꯝꯒꯅꯤ
ষ্টদেন্টস	ꯁ꯭ꯇꯗꯦꯟ꯭ꯇꯁ
য়াবা	ꯌꯥꯕꯥ
মোইদাংপোকনা	ꯃꯣꯢꯗꯥꯡꯄꯣꯛꯅꯥ
লৌরিবনি	ꯂꯧꯔꯤꯕꯅꯤ
পীরসি	ꯄꯤꯔꯁꯤ
ফলসু	ꯐꯜꯁꯨ
পাকথোকহনবা	ꯄꯥꯛꯊꯣꯛꯍꯟꯕꯥ
লাইফমলেন	ꯂꯥꯢꯐꯝꯂꯦꯟ
কন্সটিট্যুয়েন্সি	ꯀꯟ꯭ꯁꯇꯤꯇ꯭ꯌꯨꯌꯦꯟꯁꯤ
কর্ম্মীশিংনা	ꯀꯔ꯭ꯃꯃꯤꯁꯤꯡꯅꯥ
উতিদসু	ꯎꯇꯤꯗꯁꯨ
রাধাকিশ্বরগা	ꯔꯥꯙꯥꯀꯤꯁ꯭ꯋꯔꯒꯥ
এসিস্তেন্টস	ꯑꯦꯁꯤꯁꯇꯦꯟ꯭ꯇꯁ
সিনচায়ি	ꯁꯤꯟꯆꯥꯌꯤ
হাইদ্রবাদ	ꯍꯥꯢꯗ꯭ꯔꯕꯥꯗ
ক্রোপিংগী	ꯀ꯭ꯔꯣꯄꯤꯡꯒꯤ
ইনভেষ্ট	ꯏꯟꯚꯦꯁ꯭ꯇ
ফিল্মদা	ꯐꯤꯜ꯭ꯃꯗꯥ
অন্দলোক	ꯑꯟꯗꯂꯣꯛ
লৌঙাক্পীগা	ꯂꯧꯉꯥꯛꯄꯤꯒꯥ
লিংনবসু	ꯂꯤꯡꯅꯕꯁꯨ
নেট	ꯅꯦꯇꯥ
ফীরান	ꯐꯤꯔꯥꯅ
সুরেন	ꯁꯨꯔꯦꯟ
থম্লকখিবনি	ꯊꯝꯂꯛꯈꯤꯕꯅꯤ
ৱাংখৎহন্নবগী	ꯋꯥꯡꯈꯠꯍꯟꯅꯕꯒꯤ
মেঘলয়দা	ꯃꯦꯘꯂꯌꯗꯥ
থৌগৎনবগীদমক	ꯊꯧꯒꯠꯅꯕꯒꯤꯗꯃꯛ
ভাইরোলোজিগা	ꯚꯥꯢꯔꯣꯂꯣꯖꯤꯒꯥ
ওফিসারশিংগসু	ꯑꯣꯐꯤꯁꯥꯔꯁꯤꯡꯒꯁꯨ
ঙামীশিংদা	ꯉꯥꯃꯤꯁꯤꯡꯗꯥ
পম্প	ꯄꯝ꯭ꯄ
থম্ফমশিং	ꯊꯝꯐꯝꯁꯤꯡ
একচেঞ্জগী	ꯑꯦꯛꯆꯦꯟ꯭ꯖꯒꯤ
মমিংতা	ꯃꯃꯤꯡꯇꯥ
রিগ্যাসিফিকেসন	ꯔꯤꯒ꯭ꯌꯥꯁꯤꯐꯤꯀꯦꯁꯟ
চৎনহনবনা	ꯆꯠꯅꯍꯟꯕꯅꯥ
শেমগৎলকপা	ꯁꯦꯝꯒꯠꯂꯛꯄꯥ
জাতিদা	ꯖꯥꯇꯤꯗꯥ
হৌখিবদগী	ꯍꯧꯈꯤꯕꯗꯒꯤ
কোহিমাদা	ꯀꯣꯍꯤꯃꯥꯗꯥ
কায়হন্দবা	ꯀꯥꯢꯍꯟꯗꯕꯥ
ভুলুনমাংসু	ꯚꯨꯂꯨꯟꯃꯥꯡꯁꯨ
লেবোরেতরিশিংনা	ꯂꯦꯕꯣꯔꯦꯇꯔꯤꯁꯤꯡꯅꯥ
অকংবদুদগী	ꯑꯀꯪꯕꯗꯨꯗꯒꯤ
মেনু্যফেকচররশিংনা	ꯃꯦꯅꯨꯐꯦꯛꯆꯔꯔꯁꯤꯡꯅꯥ
সেন্তরশিংনা	ꯁꯦꯟꯇꯔꯁꯤꯡꯅꯥ
য়ূনিত	ꯌꯨꯅꯤꯠ
অপঙ্দা	ꯑꯄꯪꯗꯥ
কোলকাতাগী	ꯀꯣꯜꯀꯥꯇꯥꯒꯤ
চৌহানদা	ꯆꯧꯍꯥꯟꯗꯥ
রামায়ননা	ꯔꯥꯃꯥꯌꯟꯅꯥ
ৱার্কিং	ꯋꯥꯔꯀꯤꯡ
চেয়ারমেন	ꯆꯦꯌꯥꯔꯃꯦꯟ
সুবেন্দু	ꯁꯨꯕꯦꯟꯗꯨ
অগনি	ꯑꯒꯅꯤ
ময়াঙ্ক	ꯃꯌꯥꯡ꯭ꯀ
খুল্লাক্পা	ꯈꯨꯜꯂꯥꯛꯄꯥ
অন্তাজনা	ꯑꯟꯇꯥꯖꯅꯥ
খুৎতগী	ꯈꯨꯠꯇꯒꯤ
অনী	ꯑꯅꯤ
হায়্বসি	ꯍꯥꯢꯕꯁꯤ
পাউচেশিংনা	ꯄꯥꯎꯆꯦꯁꯤꯡꯅꯥ
টেরিটোরিশিংদসু	ꯇꯦꯔꯤꯇꯣꯔꯤꯁꯤꯡꯗꯁꯨ
হন্দোক্পা	ꯍꯟꯗꯣꯛꯄꯥ
ইসান	ꯏꯁꯥꯟ
মীনৈশিংবু	ꯃꯤꯅꯩꯁꯤꯡꯕꯨ
য়াওররে	ꯌꯥꯎꯔꯔꯦ
প্রিজুদাইস	ꯄ꯭ꯔꯤꯖꯨꯗꯥꯢꯁ
মচাগী	ꯃꯆꯥꯒꯤ
ইরাউখোল	ꯏꯔꯥꯎꯈꯣꯜ
গীদা	ꯒꯤꯗꯥ
নারিশক্তি	ꯅꯥꯔꯤꯁꯛꯇꯤ
বোরদোলোই	ꯕꯣꯔꯗꯣꯂꯣꯢ
টেষ্টতি	ꯇꯦꯁ꯭ꯇꯇꯤ
খৌসাবুং	ꯈꯧꯁꯥꯕꯨꯡ
তিনফমদা	ꯇꯤꯟꯐꯝꯗꯥ
শুমাংলিলা	ꯁꯨꯃꯥꯡꯂꯤꯂꯥ
ওল্লগা	ꯑꯣꯜꯂꯒꯥ
ডাক্টরশিংনা	ꯗꯥꯛꯇꯔꯁꯤꯡꯅꯥ
গদাধর্সু	ꯒꯗꯥꯙꯔꯁꯨ
লোইরম্লে	ꯂꯣꯢꯔꯝꯂꯦ
নাইন্তিনসু	ꯅꯥꯢꯟꯇꯤꯟꯁꯨ
কেদিলা	ꯀꯦꯗꯤꯂꯥ
দিদগী	ꯗꯤꯗꯒꯤ
সরনাথকী	ꯁꯔꯅꯥꯊꯀꯤ
চেংগুম	ꯆꯦꯡꯒꯨꯝ
লোর্দ	ꯂꯣꯔ꯭ꯗ
আর্মিনা	ꯑꯥꯔꯃꯤꯅꯥ
নিজাকার্ট	ꯅꯤꯖꯥꯀꯥꯔ꯭ꯇ
চেঞ্জতা	ꯆꯦꯟ꯭ꯖꯇꯥ
চাউজরে	ꯆꯥꯎꯖꯔꯦ
তৌসেমগী	ꯇꯧꯁꯦꯝꯒꯤ
সর্ভিলেন্সকী	ꯁꯔꯚꯤꯂꯦꯟ꯭ꯁꯀꯤ
মচীন্দুনা	ꯃꯆꯤꯟꯗꯨꯅꯥ
হয়্দুনা	ꯍꯌꯗꯨꯅꯥ
অসিখক্তমক	ꯑꯁꯤꯈꯛꯇꯃꯛ
ৱাই	ꯋꯥꯢ
নোংদা	ꯅꯣꯡꯗꯥ
ভরজ	ꯚꯔꯖ
ঙায়বা	ꯉꯥꯢꯕꯥ
দেটোগী	ꯗꯦꯇꯣꯒꯤ
শাগত্লক্তুনা	ꯁꯥꯒꯠꯂꯛꯇꯨꯅꯥ
দিজিটেলাইজকী	ꯗꯤꯖꯤꯇꯦꯂꯥꯢꯖꯀꯤ
শিন্নৈ	ꯁꯤꯟꯅꯩ
ইন্নদুনা	ꯏꯟꯅꯗꯨꯅꯥ
নিয়াজিনা	ꯅꯤꯌꯥꯖꯤꯅꯥ
লৈথোক্লবোইরে	ꯂꯩꯊꯣꯛꯂꯕꯣꯢꯔꯦ
আকাশবানিনসু	ꯑꯥꯀꯥꯁꯕꯥꯅꯤꯅꯁꯨ
শৈথাবা	ꯁꯩꯊꯥꯕꯥ
মিপাইনবা	ꯃꯤꯄꯥꯢꯟꯕꯥ
তূম্থোক্খ্রবোইরে	ꯇꯨꯝꯊꯣꯛꯈ꯭ꯔꯕꯣꯢꯔꯦ
চেংজা	ꯆꯦꯡꯖꯥ
ঙাঙ্নখিবা	ꯉꯥꯡꯅꯈꯤꯕꯥ
নিলগিরি	ꯅꯤꯜꯒꯤꯔꯤ
লৈরিবশিংনসু	ꯂꯩꯔꯤꯕꯁꯤꯡꯅꯁꯨ
দিপার্টমেন্টশিংনা	ꯗꯤꯄꯥꯔ꯭ꯇꯃꯦꯟ꯭ꯇꯁꯤꯡꯅꯥ
শ্রীনিভাস	ꯁ꯭ꯔꯤꯅꯤꯚꯥꯁ
রঞ্জননসু	ꯔꯟꯖꯟꯅꯁꯨ
বগেল	ꯕꯒꯦꯜ
পুথানদু	ꯄꯨꯊꯥꯟꯗꯨ
য়াঙ্খৈ	ꯌꯥꯡꯈꯩ
হৌগদৌরিবনি	ꯍꯧꯒꯗꯧꯔꯤꯕꯅꯤ
রাজনিস	ꯔꯥꯖꯅꯤꯁ
হাংদোক্পা	ꯍꯥꯡꯗꯣꯛꯄꯥ
জুসিদিয়েল	ꯖꯨꯁꯤꯗꯤꯌꯦꯜ
এরিগেসন	ꯑꯦꯔꯤꯒꯦꯁꯟ
মায়থোংদা	ꯃꯥꯢꯊꯣꯡꯗꯥ
মচামক্কী	ꯃꯆꯥꯃꯛꯀꯤ
অহোংবম	ꯑꯍꯣꯡꯕꯝ
তাজ	ꯇꯥꯖ
নুংশিবগে	ꯅꯨꯡꯁꯤꯕꯒꯦ
লাকনবা	ꯂꯥꯛꯅꯕꯥ
অন্দোলনবু	ꯑꯟꯗꯣꯂꯟꯕꯨ
তৌবগীদমক	ꯇꯧꯕꯒꯤꯗꯃꯛ
থুরবসু	ꯊꯨꯔꯕꯁꯨ
পোৎথোক্তু	ꯄꯣꯠꯊꯣꯛꯇꯨ
অনটেদ	ꯑꯟꯇꯦꯗ
হন্নুবী	ꯍꯟꯅꯨꯕꯤ
পীখিগনি	ꯄꯤꯈꯤꯒꯅꯤ
দুতোপন্ট	ꯗꯨꯇꯣꯄꯟ꯭ꯇ
হরাওমন্খিদুনা	ꯍꯔꯥꯎꯃꯟꯈꯤꯗꯨꯅꯥ
অরীবা	ꯑꯔꯤꯕꯥ
ঙম্খৈ	ꯉꯝꯈꯩ
কোইবশিংবু	ꯀꯣꯢꯕꯁꯤꯡꯕꯨ
কৈনা	ꯀꯩꯅꯥ
ওলগী	ꯑꯣꯜꯒꯤ
কমিস্নারশিং	ꯀꯃꯤꯁꯅꯥꯔꯁꯤꯡ
মুঙ্গেরদা	ꯃꯨꯡꯒꯦꯔꯗꯥ
তাররোইদপোত্নি	ꯇꯥꯔꯔꯣꯢꯗꯄꯣꯠꯅꯤ
দেরি	ꯗꯦꯔꯤ
কম্মান্দোগা	ꯀꯝꯃꯥꯟꯗꯣꯒꯥ
হায়বা	ꯍꯥꯢꯕꯥ
বেটর	ꯕꯦꯇꯔ
প্রকাসান	ꯄ꯭ꯔꯀꯥꯁꯥꯟ
অকক্ননা	ꯑꯀꯛꯅꯅꯥ
মিদিয়াদসু	ꯃꯤꯗꯤꯌꯥꯗꯁꯨ
চল্লকপগা	ꯆꯜꯂꯛꯄꯒꯥ
খোইরোই	ꯈꯣꯢꯔꯣꯢ
পোতেনসিয়েল	ꯄꯣꯇꯦꯟꯁꯤꯌꯦꯜ
মোর্দনাইজেসনগী	ꯃꯣꯔꯗꯅꯥꯢꯖꯦꯁꯟꯒꯤ
ইমায়্গসি	ꯏꯃꯥꯢꯒꯁꯤ
হৌজিকমক্কী	ꯍꯧꯖꯤꯛꯃꯛꯀꯤ
লৌথোকখিনবা	ꯂꯧꯊꯣꯛꯈꯤꯅꯕꯥ
চাক্লুক্	ꯆꯥꯛꯂꯨꯛ
থাজিল্লক্কদবনি	ꯊꯥꯖꯤꯜꯂꯛꯀꯗꯕꯅꯤ
অঙ্গত	ꯑꯪꯒꯠ
কম্পু্যটর	ꯀꯝꯄꯨꯢꯇꯔ
কোনশিনখি	ꯀꯣꯟꯁꯤꯟꯈꯤ
ইমাতোন্গী	ꯏꯃꯥꯇꯣꯟꯒꯤ
কােন্ননা	ꯀꯣꯟꯅꯅꯥ
হল্লক্খি	ꯍꯜꯂꯛꯈꯤ
য়ামজদবা	ꯌꯥꯝꯖꯗꯕꯥ
ঙায়্রেদো	ꯉꯥꯢꯔꯦꯗꯣ
কূম্থখিবোইরে	ꯀꯨꯝꯊꯈꯤꯕꯣꯢꯔꯦ
জর্নেলগী	ꯖꯔꯅꯦꯜꯒꯤ
চিংশিন্নফম	ꯆꯤꯡꯁꯤꯟꯅꯐꯝ
তিদিম	ꯇꯤꯗꯤꯝ
এক	ꯑꯦꯛ
অশ্রফ	ꯑꯁ꯭ꯔꯐ
বর্ধমানদা	ꯕꯔꯙꯃꯥꯅꯗꯥ
লায়চৎশিং	ꯂꯥꯢꯆꯠꯁꯤꯡ
হোস্পিতালনা	ꯍꯣꯁꯄꯤꯇꯥꯜꯅꯥ
য়ামশিল্লকপগী	ꯌꯥꯝꯁꯤꯜꯂꯛꯄꯒꯤ
অঙাংনিনা	ꯑꯉꯥꯡꯅꯤꯅꯥ
রিগুলেতরনা	ꯔꯤꯒꯨꯂꯦꯇꯔꯅꯥ
শিংথোইবগী	ꯁꯤꯡꯊꯣꯢꯕꯒꯤ
ওইখিবী	ꯑꯣꯢꯈꯤꯕꯤ
ৱারেল	ꯋꯥꯔꯦꯜ
রিলেসন	ꯔꯤꯂꯦꯁꯟ
ৱাৎহৌরিবা	ꯋꯥꯠꯍꯧꯔꯤꯕꯥ
দিস্তর্ব	ꯗꯤꯁꯇꯔ꯭ꯕ
পাম্মি	ꯄꯥꯝꯃꯤ
পুনেগী	ꯄꯨꯅꯦꯒꯤ
তান্নরক্খি	ꯇꯥꯟꯅꯔꯛꯈꯤ
হাওদিশিং	ꯍꯥꯎꯗꯤꯁꯤꯡ
কেক্রু	ꯀꯦꯀ꯭ꯔꯨ
মপাপ্কী	ꯃꯄꯥꯞꯀꯤ
থোকহনখ্রে	ꯊꯣꯛꯍꯟꯈ꯭ꯔꯦ
শিগদৌরদনা	ꯁꯤꯒꯗꯧꯔꯗꯅꯥ
সিতারামননা	ꯁꯤꯇꯥꯔꯥꯃꯟꯅꯥ
লৈরকখিবী	ꯂꯩꯔꯛꯈꯤꯕꯤ
শোকলবা	ꯁꯣꯛꯂꯕꯥ
শন্দোকনা	ꯁꯟꯗꯣꯛꯅꯥ
থুংখ্রবনি	ꯊꯨꯡꯈ꯭ꯔꯕꯅꯤ
দিজাইন	ꯗꯤꯖꯥꯢꯟ
কোসেমনা	ꯀꯣꯁꯦꯝꯅꯥ
য়েংশিন্ননবা	ꯌꯦꯡꯁꯤꯟꯅꯅꯕꯥ
য়োংগী	ꯌꯣꯡꯒꯤ
বিনিফিট	ꯕꯤꯅꯤꯐꯤꯠ
শেমজবা	ꯁꯦꯝꯖꯕꯥ
গিতিকা	ꯒꯤꯇꯤꯀꯥ
প্লাজা	ꯄ꯭ꯂꯥꯖꯥ
চাউথোরক্লি	ꯆꯥꯎꯊꯣꯔꯛꯂꯤ
হেনগৎহল্লকপনি	ꯍꯦꯟꯒꯠꯍꯜꯂꯛꯄꯅꯤ
ঈসৈদা	ꯏꯁꯩꯗꯥ
খুন্দামিন্নরিবশিংনা	ꯈꯨꯟꯗꯥꯃꯤꯟꯅꯔꯤꯕꯁꯤꯡꯅꯥ
চৎনরকপদগী	ꯆꯠꯅꯔꯛꯄꯗꯒꯤ
আর্টিসানশিংবু	ꯑꯥꯔꯇꯤꯁꯥꯟꯁꯤꯡꯕꯨ
শেমগদৌরিবা	ꯁꯦꯝꯒꯗꯧꯔꯤꯕꯥ
তমহনবগা	ꯇꯝꯍꯟꯕꯒꯥ
খুম্গে	ꯈꯨꯝꯒꯦ
ষ্টেবল	ꯁ꯭ꯇꯦꯕꯜ
য়ুনির্ভরসিতিশিংগী	ꯌꯨꯅꯤꯔꯚꯔꯁꯤꯇꯤꯁꯤꯡꯒꯤ
মেয়র	ꯃꯦꯌꯔ
নম্বরশিংনা	ꯅꯝꯕꯔꯁꯤꯡꯅꯥ
য়াওরম্বা	ꯌꯥꯎꯔꯝꯕꯥ
ক্রিসি	ꯀ꯭ꯔꯤꯁꯤ
তশেংনমক	ꯇꯁꯦꯡꯅꯃꯛ
ঐসে	ꯑꯩꯁꯦ
ব্রাইনদগী	ꯕ꯭ꯔꯥꯢꯟꯗꯒꯤ
খাজনাগী	ꯈꯥꯖꯅꯥꯒꯤ
উচন	ꯎꯆꯟ
থাদরো	ꯊꯥꯗꯔꯣ
লৈরম্লবদি	ꯂꯩꯔꯝꯂꯕꯗꯤ
মখাগী	ꯃꯈꯥꯒꯤ
হারকপা	ꯍꯥꯔꯛꯄꯥ
সেরাৱিক	ꯁꯦꯔꯥꯋꯤꯛ
লৈতদুনা	ꯂꯩꯇꯗꯨꯅꯥ
লোৎশিন্নবা	ꯂꯣꯠꯁꯤꯟꯅꯕꯥ
মপাদি	ꯃꯄꯥꯗꯤ
ফোরেনসিক	ꯐꯣꯔꯦꯟꯁꯤꯛ
রতলম	ꯔꯇꯂꯝ
প্রোক্যুরমেন্ট	ꯄ꯭ꯔꯣꯀ꯭ꯌꯨꯔꯃꯦꯟ꯭ꯇ
তোকখাই	ꯇꯣꯛꯈꯥꯢ
কাপথোকপীনবসু	ꯀꯥꯞꯊꯣꯛꯄꯤꯅꯕꯁꯨ
থুম্লবা	ꯊꯨꯝꯂꯕꯥ
পীশিল্লগনি	ꯄꯤꯁꯤꯜꯂꯒꯅꯤ
এদুকেসনগী	ꯑꯦꯗꯨꯀꯦꯁꯟꯒꯤ
নিলাকুঠিদা	ꯅꯤꯂꯥꯀꯨꯊꯤꯗꯥ
চান্ননা	ꯆꯥꯟꯅꯅꯥ
মন্ত্রনি	ꯃꯟꯇ꯭ꯔꯅꯤ
অমোম্	ꯑꯃꯣꯝ
ইরাবতগী	ꯏꯔꯥꯕꯠꯒꯤ
কল্লক্উবা	ꯀꯜꯂꯛꯎꯕꯥ
ইন্সুরেন্সকী	ꯏꯟꯁꯨꯔꯦꯟ꯭ꯁꯀꯤ
তক্শি	ꯇꯛꯁꯤ
মীহাত্পশিংনা	ꯃꯤꯍꯥꯠꯄꯁꯤꯡꯅꯥ
লীত্শিল্লগা	ꯂꯤꯠꯁꯤꯜꯂꯒꯥ
তোংলগা	ꯇꯣꯡꯂꯒꯥ
লাউথোকপগীদমক	ꯂꯥꯎꯊꯣꯛꯄꯒꯤꯗꯃꯛ
খোংদগী	ꯈꯣꯡꯗꯒꯤ
ইস্লামাবাদ	ꯏꯁꯂꯥꯃꯥꯕꯥꯗ
সমজেৎশাবমনা	ꯁꯝꯖꯦꯠꯁꯥꯕꯝꯅꯥ
নুংথিবী	ꯅꯨꯡꯊꯤꯕꯤ
রামেশ্বরম	ꯔꯥꯃꯦꯁ꯭ꯋꯔꯝ
ওইনদুনা	ꯑꯣꯢꯟꯗꯨꯅꯥ
লূম্বা	ꯂꯨꯝꯕꯥ
নুংঙাইহনবদা	ꯅꯨꯡꯉꯥꯢꯍꯟꯕꯗꯥ
করম	ꯀꯔꯝ
মীওইশিংগসু	ꯃꯤꯑꯣꯢꯁꯤꯡꯒꯁꯨ
পাউনম	ꯄꯥꯎꯅꯝ
